name,dvoa,wins,o_dvoa,d_dvoa,s_dvoa
HOIL,-4.2,7.0,-12.9,-9.9,-1.2
WAS,-4.3,6.0,-1.4,7.0,4.2
NO,-5.0,7.0,3.2,7.3,-1.0
PHI,-5.3,10.0,-11.6,-14.2,-7.9
NYG,-6.4,5.0,-5.9,1.3,0.9
CIN,-7.0,7.0,2.5,11.6,2.1
CLE1,-8.3,5.0,-5.0,8.9,5.6
CAR,-9.5,7.0,-24.9,-12.5,2.9
IND,-9.8,9.0,-1.6,3.8,-4.4
STL,-12.2,7.0,-11.9,-3.2,-3.5
SEA,-14.8,8.0,-4.3,9.1,-1.5
TB,-18.7,7.0,-13.4,4.9,-0.4
NE,-21.2,6.0,-9.3,11.7,-0.2
NYJ,-23.9,3.0,-30.7,-9.0,-2.3
JAC,-25.9,4.0,-9.3,13.3,-3.3
ARI,-27.9,4.0,-22.9,1.3,-3.7
GB,42.0,13.0,15.2,-19.3,7.4
SF,29.3,12.0,10.0,-15.8,3.4
DEN,26.9,13.0,13.6,-15.3,-2.1
DAL,24.0,10.0,5.5,-13.1,5.4
CAR,22.1,12.0,0.0,-12.2,9.8
PIT,18.1,10.0,6.0,-14.6,-2.5
PHI,13.5,10.0,6.6,-9.3,-2.5
NE,10.1,11.0,3.9,-3.8,2.4
WAS,10.0,9.0,17.4,10.7,3.3
KC,9.1,9.0,11.5,-1.0,-3.5
CIN,7.5,8.0,8.6,-4.9,-6.0
OAK,6.5,7.0,1.2,-6.8,-1.5
BAL,5.1,4.0,22.8,17.5,-0.2
HOIL,2.7,8.0,1.4,-0.3,1.0
BUF,2.4,10.0,-12.7,-9.7,5.4
MIA,0.5,8.0,7.2,7.5,0.8
JAC,-0.2,9.0,7.6,5.3,-2.5
SD,-0.5,8.0,-7.1,-4.6,2.0
CHI,-5.3,7.0,0.0,3.7,-1.5
TB,-9.4,6.0,-14.5,-0.7,4.5
NYG,-11.5,6.0,-21.3,-5.4,4.5
IND,-12.2,9.0,-7.8,10.4,6.0
DET,-12.4,5.0,4.1,15.3,-1.2
MIN,-14.5,9.0,-8.6,-0.9,-6.8
SEA,-17.9,7.0,-10.9,6.5,-0.5
NO,-24.9,3.0,-17.1,3.2,-4.6
ARI,-27.8,7.0,-4.2,16.1,-7.5
ATL,-28.7,3.0,-3.6,21.6,-3.5
STL,-29.2,6.0,-26.8,-0.7,-3.0
NYJ,-30.9,1.0,-11.7,11.4,-7.7
GB,29.7,13.0,15.5,-10.6,3.5
DEN,29.6,12.0,19.4,-5.9,4.3
KC,29.0,13.0,13.3,-8.4,7.3
