date,year,month,yearmonth,week,weekday,weekdaynum,points_11,points_12,points_14,points_15,points_18,points
2018-11-18,2018,November,Nov 2018,46,Sun,7,0,0,1500,1300,1000,760
2018-11-19,2018,November,Nov 2018,47,Mon,1,200,0,0,0,0,40
2018-11-20,2018,November,Nov 2018,47,Tues,2,200,0,0,0,0,40
2018-11-21,2018,November,Nov 2018,47,Wed,3,200,0,0,0,0,40
2018-11-22,2018,November,Nov 2018,47,Thurs,4,200,0,0,0,0,40
2018-11-23,2018,November,Nov 2018,47,Fri,5,200,0,0,0,0,40
2018-11-24,2018,November,Nov 2018,47,Sat,6,200,0,0,0,0,40
2018-11-25,2018,November,Nov 2018,47,Sun,7,200,0,0,0,0,40
2018-11-26,2018,November,Nov 2018,48,Mon,1,0,0,0,0,0,0
2018-11-27,2018,November,Nov 2018,48,Tues,2,0,0,0,0,0,0
2018-11-28,2018,November,Nov 2018,48,Wed,3,0,0,0,0,0,0
2018-11-29,2018,November,Nov 2018,48,Thurs,4,0,0,0,0,0,0
2018-11-30,2018,November,Nov 2018,48,Fri,5,0,0,0,0,0,0
2018-12-01,2018,December,Dec 2018,48,Sat,6,0,0,0,0,0,0
2018-12-02,2018,December,Dec 2018,48,Sun,7,0,0,0,0,0,0
2018-12-03,2018,December,Dec 2018,49,Mon,1,0,0,0,0,0,0
2018-12-04,2018,December,Dec 2018,49,Tues,2,0,0,0,0,0,0
2018-12-05,2018,December,Dec 2018,49,Wed,3,0,0,0,0,0,0
2018-12-06,2018,December,Dec 2018,49,Thurs,4,0,0,0,0,0,0
2018-12-07,2018,December,Dec 2018,49,Fri,5,0,0,0,0,0,0
2018-12-08,2018,December,Dec 2018,49,Sat,6,0,0,0,0,0,0
